24:00基础模型,边界预测方法,评价对象,样本数,MAE,RMSE,WAPE_percent,Bias,MAPE_percent,R2
LightGBM,目标时刻上周同期,最后10分钟区间平均,333,141.0112167656265,203.29654927293808,4.082532839343885,3.469176189944961,4.103482027818376,0.8982698767564189
XGBoost,目标时刻上周同期,最后10分钟区间平均,333,141.17403573925486,201.96839145823043,4.087246746662414,4.224660453031133,4.118092549337558,0.8995947620312905
LightGBM,XGBoost跨日边界,最后10分钟区间平均,333,142.67873881322467,202.86502174572342,4.1308106549375525,-15.667693395851757,4.175798390003042,0.8987012933957643
XGBoost,XGBoost跨日边界,最后10分钟区间平均,333,143.65121630595442,203.03872217654921,4.158965658423486,-14.912209132765607,4.216503166378953,0.8985277478349041
LightGBM,历史跨日比例,最后10分钟区间平均,333,146.2405436627112,210.89433922572854,4.233931425035804,2.8437711309628217,4.291995637321309,0.8905238787583056
XGBoost,历史跨日比例,最后10分钟区间平均,333,147.86530938693835,211.98474207445034,4.280971366804569,4.352967886729011,4.363448629655525,0.8893888869259343
Baseline,XGBoost跨日边界,最后10分钟区间平均,333,151.63377751208236,222.99324615401147,4.3900754170198955,-17.95073129750848,4.42506187046766,0.8776023792175237
Baseline,目标时刻上周同期,最后10分钟区间平均,333,158.35707432432432,234.35227505045088,4.5847271663928195,1.1861382882882883,4.600335551287356,0.8648151870669478
Baseline,历史跨日比例,最后10分钟区间平均,333,173.219940713553,250.91151905268464,5.015034354094484,-1.7560048304301816,5.055158561414605,0.8450360221496894
SARIMA,目标时刻上周同期,最后10分钟区间平均,333,237.6610546490593,322.5261417372065,6.880722558763147,65.26236955707802,7.215937583804805,0.7439531725069993
SARIMA,XGBoost跨日边界,最后10分钟区间平均,333,241.02296580688065,320.204984862112,6.978056040592288,46.1254999712813,7.346098167205501,0.7476253476153928
SARIMA,历史跨日比例,最后10分钟区间平均,333,379.87518173512905,510.60241323139724,10.998081853751037,126.13831221244703,11.69146104879136,0.35826565541738686
LightGBM,历史跨日比例,次日00:10端点,333,168.48997709147127,231.0285493455609,4.881059716922657,-1.1064014092556411,5.000562207639665,0.871467376083167
XGBoost,历史跨日比例,次日00:10端点,333,169.9289917128572,232.7977131060082,4.922747159830292,0.4010235761044716,5.072769449122281,0.8694912919035489
Baseline,目标时刻上周同期,次日00:10端点,333,175.6930039039039,247.29130193647913,5.089727345828509,0.14440870870870853,5.129694913345342,0.8527349282585737
LightGBM,目标时刻上周同期,次日00:10端点,333,175.6930039039039,247.29130193647913,5.089727345828509,0.14440870870870853,5.129694913345342,0.8527349282585737
SARIMA,目标时刻上周同期,次日00:10端点,333,175.6930039039039,247.29130193647913,5.089727345828509,0.14440870870870853,5.129694913345342,0.8527349282585737
XGBoost,目标时刻上周同期,次日00:10端点,333,175.6930039039039,247.29130193647913,5.089727345828509,0.14440870870870853,5.129694913345342,0.8527349282585737
Baseline,XGBoost跨日边界,次日00:10端点,333,181.45572086265955,258.09908236770104,5.256670009676928,-38.129330462884774,5.288883715769157,0.8395813001494898
LightGBM,XGBoost跨日边界,次日00:10端点,333,181.45572086265955,258.09908236770104,5.256670009676928,-38.129330462884774,5.288883715769157,0.8395813001494898
SARIMA,XGBoost跨日边界,次日00:10端点,333,181.45572086265955,258.09908236770104,5.256670009676928,-38.129330462884774,5.288883715769157,0.8395813001494898
XGBoost,XGBoost跨日边界,次日00:10端点,333,181.45572086265955,258.09908236770104,5.256670009676928,-38.129330462884774,5.288883715769157,0.8395813001494898
Baseline,历史跨日比例,次日00:10端点,333,183.19949829707713,258.858557336392,5.307186259588895,-5.739877528728196,5.394088135767126,0.838635824183223
SARIMA,历史跨日比例,次日00:10端点,333,374.29473748863074,503.14010837649676,10.843107684797557,121.89629401944666,11.595201885099216,0.3903789576490204
