规划日期,目标日期,24:00基础模型,边界预测方法,预测_当日24:00,实际_当日24:00,预测_次日00:10,实际_次日00:10,预测_最后区间平均负载,实际_最后区间平均负载
2025-02-01,2025-02-02,Baseline,XGBoost跨日边界,3440.36,3484.94,3363.554443359375,3591.9843,3401.957221679688,3538.4621500000003
2025-02-01,2025-02-02,Baseline,历史跨日比例,3440.36,3484.94,3434.4383749676736,3591.9843,3437.3991874838366,3538.4621500000003
2025-02-01,2025-02-02,Baseline,目标时刻上周同期,3440.36,3484.94,3618.1419,3591.9843,3529.25095,3538.4621500000003
2025-02-02,2025-02-03,Baseline,XGBoost跨日边界,3722.21,3548.26,3366.3896484375,3319.2759,3544.29982421875,3433.7679500000004
2025-02-02,2025-02-03,Baseline,历史跨日比例,3722.21,3548.26,3715.8032484066853,3319.2759,3719.0066242033427,3433.7679500000004
2025-02-02,2025-02-03,Baseline,目标时刻上周同期,3722.21,3548.26,3516.9328,3319.2759,3619.5714,3433.7679500000004
2025-02-03,2025-02-04,Baseline,XGBoost跨日边界,3458.67,3553.22,3460.989990234375,3336.6152,3459.8299951171875,3444.9175999999998
2025-02-03,2025-02-04,Baseline,历史跨日比例,3458.67,3553.22,3452.71685938374,3336.6152,3455.69342969187,3444.9175999999998
2025-02-03,2025-02-04,Baseline,目标时刻上周同期,3458.67,3553.22,3695.8008,3336.6152,3577.2354,3444.9175999999998
2025-02-04,2025-02-05,Baseline,XGBoost跨日边界,3606.8,3318.01,3364.778076171875,3549.4514,3485.7890380859376,3433.7307
2025-02-04,2025-02-05,Baseline,历史跨日比例,3606.8,3318.01,3594.9253119668647,3549.4514,3600.8626559834324,3433.7307
2025-02-04,2025-02-05,Baseline,目标时刻上周同期,3606.8,3318.01,3458.6049,3549.4514,3532.7024499999998,3433.7307
2025-02-05,2025-02-06,Baseline,XGBoost跨日边界,3580.49,3329.79,3118.914306640625,3497.9209,3349.7021533203124,3413.85545
2025-02-05,2025-02-06,Baseline,历史跨日比例,3580.49,3329.79,3563.8354669433816,3497.9209,3572.1627334716904,3413.85545
2025-02-05,2025-02-06,Baseline,目标时刻上周同期,3580.49,3329.79,3405.0251,3497.9209,3492.75755,3413.85545
2025-02-06,2025-02-07,Baseline,XGBoost跨日边界,2764.86,2446.62,3167.5458984375,2317.5067,2966.2029492187503,2382.06335
2025-02-06,2025-02-07,Baseline,历史跨日比例,2764.86,2446.62,2751.9993434231287,2317.5067,2758.4296717115644,2382.06335
2025-02-06,2025-02-07,Baseline,目标时刻上周同期,2764.86,2446.62,2646.1276,2317.5067,2705.4938,2382.06335
2025-02-07,2025-02-08,Baseline,XGBoost跨日边界,2543.76,2384.59,2995.10302734375,2341.7515,2769.431513671875,2363.17075
