24:00基础模型,边界预测方法,评价对象,月份,样本数,MAE,RMSE,WAPE_percent,Bias,MAPE_percent,R2
Baseline,XGBoost跨日边界,次日00:10端点,2,28,200.67581079799103,275.9716396808395,6.38473904604488,38.27511356026788,7.20768366447072,0.6673894748933755
Baseline,XGBoost跨日边界,最后10分钟区间平均,2,28,113.67944157366074,167.6490096339165,3.633039555097365,44.40934249441965,4.0777760956618785,0.8576512678943529
Baseline,XGBoost跨日边界,次日00:10端点,3,31,91.50669928175405,110.04680532270422,2.8769300774238595,-9.207249130544428,3.04884794104651,0.9361420225685445
Baseline,XGBoost跨日边界,最后10分钟区间平均,3,31,81.08531433341736,95.85378427597468,2.5536952587480917,-12.57443101688511,2.6644465492634817,0.9489582453244767
Baseline,XGBoost跨日边界,次日00:10端点,4,30,102.96158671875001,126.28498709758756,3.256579864247479,-11.578513671874967,3.386464215628461,0.9285684314508267
Baseline,XGBoost跨日边界,最后10分钟区间平均,4,30,100.54479092447909,128.2436059497484,3.1902990083085836,-6.437256835937538,3.194317942676652,0.9257631827601172
Baseline,XGBoost跨日边界,次日00:10端点,5,31,143.49039751764116,204.98642273094683,4.483924674788998,-73.11021062247985,4.314713810789048,0.8449270433268775
Baseline,XGBoost跨日边界,最后10分钟区间平均,5,31,142.5658281313004,204.9373594756097,4.42681583401641,-49.34333111769154,4.383065363169358,0.8371507561245037
Baseline,XGBoost跨日边界,次日00:10端点,6,30,288.6086676432291,389.74948858140584,7.498105769151962,-237.96292972656252,7.194771080936917,0.41524010349935603
Baseline,XGBoost跨日边界,最后10分钟区间平均,6,30,265.0473042252604,350.3654997693134,6.896349053897877,-190.24463152994798,6.872905695773612,0.47391981697722785
Baseline,XGBoost跨日边界,次日00:10端点,7,31,307.08492491179436,382.305146851207,7.134037151688882,-178.80387896925404,7.0867796027082,0.3847159142244675
Baseline,XGBoost跨日边界,最后10分钟区间平均,7,31,235.8679494644657,324.5956424708401,5.449301452227749,-138.03097174269163,5.476429887973592,0.5393400245386011
Baseline,XGBoost跨日边界,次日00:10端点,8,31,258.4939418346774,328.32876935353715,6.199094993288471,-57.0740408518145,6.555812449281919,0.5487829602175542
Baseline,XGBoost跨日边界,最后10分钟区间平均,8,31,174.6905298009073,237.91994072692177,4.1684551679775295,10.90975376764106,4.421382906098594,0.7750821410955945
Baseline,XGBoost跨日边界,次日00:10端点,9,30,244.83187226562495,332.62110939587654,7.297062634371378,117.61443497395832,7.901738457365805,0.5777947770375025
Baseline,XGBoost跨日边界,最后10分钟区间平均,9,30,250.03478160156243,342.35276730527016,7.445956035234377,129.74338415364574,7.694022379495006,0.46440885096496687
Baseline,XGBoost跨日边界,次日00:10端点,10,31,99.33079421622985,127.36971042603273,3.1946085159842035,55.649860824092755,3.5599342596105594,0.9323849203981409
Baseline,XGBoost跨日边界,最后10分钟区间平均,10,31,93.60436825226815,132.2783523989615,2.9967267542828355,50.7507368636593,3.284890749401982,0.9163225152057847
Baseline,XGBoost跨日边界,次日00:10端点,11,30,96.07268516927087,124.438266346678,3.0385562326721236,24.547958710937458,3.1399619271701327,0.9231783561170405
Baseline,XGBoost跨日边界,最后10分钟区间平均,11,30,99.18527241536457,113.02006313900765,3.1443847639447715,13.248479355468696,3.3049963930689623,0.9352461358391272
Baseline,XGBoost跨日边界,次日00:10端点,12,30,164.48261667968748,198.1178162121549,4.996941508488222,-80.2829217057292,4.971544478212888,0.8336497992883447
