模型,月份,MAE,RMSE,WAPE_percent,Bias,Daylight_MAE,Daylight_WAPE_percent,R2,Daily_energy_MAPE_percent,Daily_energy_MAE,Daily_peak_MAE,Overforecast_rate_percent
Baseline,2,116.56832147463152,231.34414853584863,5.927764377259391,-65.61514957837304,248.7712200710883,5.926836832584619,0.9924120751835238,3.93782768066392,1901.7248357993196,411.65631173469365,25.780836421386976
Baseline,3,161.25448142281107,310.6056665211539,6.998294786918027,-47.80624735343063,318.19542853353545,6.997512238645978,0.988779817066436,4.876375926541471,2658.191604531492,577.3928253456219,30.327144120247567
Baseline,4,172.68998584986775,330.94965378543736,6.391934729194074,-37.143802767857146,316.2139446738933,6.391329481199838,0.9895104443870126,3.5516635871756326,2295.5993886507954,605.8230300000002,35.777871979652396
Baseline,5,179.59193837685612,330.5102685980351,6.399137182195706,4.009129768305167,309.16291073219105,6.398835712907247,0.9893565538693158,3.169149177887646,2119.3622268817226,522.8978580645161,44.04165059776321
Baseline,6,207.31131523478834,399.40253810577343,8.74795304729245,55.48392708002647,346.31919472433987,8.747935198324098,0.9774940541423371,5.894590255296701,3328.3858264285714,575.527300952381,55.761794276875484
Baseline,7,181.13419597414236,340.3922890221129,6.651387556314122,-30.163406803635432,308.6805636338842,6.650174114759406,0.9879077292981736,3.6657025159690724,2401.1272791090632,566.1399953917053,49.064528445971746
Baseline,8,189.73021473374294,355.31114895753194,6.5065385507928175,-20.584855459549413,338.05440204815153,6.502957324681791,0.9892559733078756,4.007334077338283,2800.431462211981,529.2170562211986,52.1964856230032
Baseline,9,154.82999741402116,294.76644709585446,5.937644835893685,53.09255987433861,296.15778739235054,5.931142152217191,0.9917789344965434,3.2998306601796012,2017.2776747619064,388.14210190476183,67.50886524822694
Baseline,10,144.34285149449565,294.02951889973434,6.105065121831202,36.198076558499736,298.81033842021486,6.098359212887636,0.9912466317074895,4.39519925700646,2513.2505264976962,460.9385852534562,66.71309192200557
Baseline,11,101.67074004298942,207.07283496670584,5.482745766920683,60.99533228505291,226.3707347012451,5.47920535491353,0.9936165456864112,3.616568982282595,1566.2202272222219,309.22458761904744,74.3166580711707
Baseline,12,75.44721762992832,161.87897320625095,4.983840586482959,19.29237532322069,176.18389310757271,4.98225007149261,0.9944261465254505,2.4175447620610218,877.696418356375,230.79225253456218,59.70695970695971
XGBoost,2,111.5704551413012,227.69901732700782,5.673611502462553,-15.180485049537058,232.67245747685067,5.543292710900055,0.9926493068569736,3.0668610272819397,1444.0338608409936,415.7819789341518,45.950238221281104
XGBoost,3,169.35603134580512,340.7137447053661,7.349894532188891,-12.666392154488346,328.7164385491379,7.228882301649055,0.9864991691455768,5.0239917168241925,2739.200890693439,649.5947875504032,47.87798408488064
XGBoost,4,185.84631684169452,364.78135013254433,6.878902219298215,-8.982637077055685,335.02742986623673,6.77158843112675,0.9872562136920303,4.28679603453835,2755.5105868070978,677.7356023958334,50.699448919033486
XGBoost,5,192.31385633102798,354.997251895925,6.85243869976469,4.718296345320505,326.3393411110707,6.754341345417765,0.9877210187993969,3.785670075793256,2529.3381157011418,716.8098477318549,52.834554569996136
XGBoost,6,206.57422633224044,405.4910545783536,8.716849973618606,10.655974271723606,340.42586188493743,8.59907110252287,0.9768026601769993,5.023643989112271,2849.7466451426067,638.0767089062501,53.4416086620263
XGBoost,7,190.93922618226972,353.62338928210033,7.011435837451121,-23.298316956197407,320.598780128223,6.906938628506879,0.9869494024042405,3.632924745850314,2366.6162550139566,647.7007818800404,50.40091638029782
XGBoost,8,186.29830254117957,344.54425780259885,6.388845809996703,-0.7535285350561929,326.5619430409696,6.281883527013232,0.9898972538363403,3.601549389347205,2498.9447662000052,612.5694596270162,55.07188498402555
XGBoost,9,157.97189870139792,306.7800316882289,6.058135013930664,25.172097598758267,296.2511033915469,5.9330109886276166,0.9910951585573583,3.341178773858458,2074.591759436306,464.1580542447917,60.195035460992905
XGBoost,10,134.17113931368675,278.9943624045234,5.674846620385496,19.336769518476107,270.8671314989825,5.528072005735921,0.9921189480517046,3.7496531184205026,2148.8601014983265,408.89585025201615,61.46703806870938
XGBoost,11,99.99643541154485,201.07096427163398,5.392456401202416,48.52049232579385,214.4289682680847,5.190160082899668,0.9939812234924641,3.200804357394968,1373.2583209543561,325.04250674479164,67.45745229499742
XGBoost,12,79.95250302463398,164.2652944995676,5.2814476409135,21.868554217554077,177.98560915308283,5.0332002448496675,0.9942606025684014,2.5618150295957225,928.3846801449234,241.13268409778215,59.07901622187336
LightGBM,2,110.19856220078529,223.19282039953833,5.603847624941389,-10.106969900868322,229.55600303493043,5.4690449061573405,0.9929373705481589,3.1291325803353462,1471.2735654389712,410.71295773423407,46.373742721016406
LightGBM,3,165.07087577881768,331.2581127810978,7.163922758871472,-4.49053833283379,320.2279166528872,7.042209173971583,0.9872381323807033,4.933691405174515,2687.596433165424,609.1722763098644,49.51370468611848
LightGBM,4,183.03559292168052,359.23732203714627,6.77486628606157,-7.646598708245138,330.3674247199923,6.6774002121206255,0.987640635853916,4.136010194451203,2657.4578882926744,642.4893521451681,49.80924120389996
LightGBM,5,191.8787144080015,352.44215879560585,6.83693392330124,9.120442763118719,325.82435321499133,6.7436824894335725,0.9878971386594453,3.729956732417855,2484.6550469395497,668.5710043419542,54.338603933667564
LightGBM,6,207.3240221175203,402.66948867979227,8.748489241920277,8.600948844301497,341.494796047843,8.626072108908946,0.9771243693690043,4.85822815246137,2752.948671904111,640.2977566252304,52.977571539056456
LightGBM,7,192.87282160223035,357.6749123091616,7.082438954483249,-20.416037619254723,323.39739568890496,6.967231639960897,0.9866486434836738,3.769487447010586,2453.914702135147,673.2415488669127,50.59182894234441
LightGBM,8,183.98544765832233,339.7207411890585,6.309529611051699,1.6526627453755562,322.40122037157636,6.201846107606853,0.9901781446351439,3.3674417198796798,2335.185382669299,621.055089624562,54.43290734824281
LightGBM,9,158.17097225133116,307.5004138757356,6.0657693745550025,26.917722691984217,296.3559249184292,5.935110245858113,0.9910532886816845,3.413208557285821,2120.1160164368544,443.65368550511005,60.54964539007093
LightGBM,10,133.52400262671895,278.34844945168874,5.647475596633654,21.356109816641812,269.35791377828144,5.497270689289007,0.9921553973970918,3.748563682569333,2151.0671279964067,401.7525586018223,61.09563602599815
LightGBM,11,100.75885905653773,202.59739692122596,5.433571229425535,48.898816607875574,216.1871749498649,5.232716712309246,0.9938894933951709,3.3086355531123144,1419.79876321265,328.9642855019692,67.56059824651882
LightGBM,12,79.50811180939378,162.83232047694526,5.252092350627593,21.56163688585991,176.8228728971211,5.000319584238682,0.9943603014670337,2.4838083313798562,899.721471957043,239.29649958396632,59.7592883307169
SARIMA,2,119.2013711470184,238.37015798463696,6.061660944131774,-15.062179437766119,254.3895747736017,6.060691028338719,0.991944180082258,3.9938428118073364,1844.313126850882,394.50396849213365,38.85653785071466
SARIMA,3,160.60084083957872,313.8301158596988,6.969927392438251,-54.91192883478566,316.9052659893056,6.969139963674278,0.988545650693948,4.914223998836371,2709.9142817351535,580.460245361596,29.398762157382848
SARIMA,4,176.58853463329854,332.922726372859,6.536235333769564,-35.27557112435425,323.35331564693615,6.535630746042186,0.9893849972104749,3.754055874822871,2434.415336512795,594.8317520957676,36.96481559983044
SARIMA,5,218.8597759236954,405.3495776681116,7.798310672840442,65.99405944921153,376.76473125020095,7.798010479258502,0.9839907199437214,5.4176821367095505,3589.676595942405,571.5577675372988,52.44890088700347
SARIMA,6,200.12846371066465,388.88522163532036,8.444856962992644,72.67414183612814,334.3200063337446,8.444838736815626,0.978663729537245,5.724762781219905,3197.0862855698388,513.3350921583082,59.7061098221191
SARIMA,7,175.08811639399192,330.28051328464846,6.429370845070717,-36.55648407626177,298.3762211516974,6.428178693868797,0.9886154901844382,3.4147320485226436,2240.5978961506185,563.7478283850156,47.38449789996182
