模型,对象,MAE,RMSE,WAPE_percent,Bias,R2,Daily_energy_MAPE_percent,Daily_energy_MAE,Daily_peak_MAE,Daylight_MAE,Daylight_WAPE_percent,Overforecast_rate_percent
自适应加权Baseline,光伏,149.948471099226,299.17892369242406,6.303392303861104,1.5401188264341912,0.9900222444541292,3.7499929182917087,2150.395594268905,459.1763065567489,279.93481430133903,6.30222347034905,50.47752154670394
Baseline,光伏,151.2208473766752,299.4976026519163,6.356879256919674,2.769202212539207,0.990000976951789,3.8910456791243964,2227.379143591389,462.0088858426005,282.3013159151664,6.355500952288925,50.70657659756193
LightGBM,光伏,152.90396009968137,305.7730359830226,6.427632361015728,8.697087095115213,0.9895775639442098,3.718745122236479,2134.912928627462,506.25857490450915,279.8901242780375,6.30121735571324,56.370836245050086
XGBoost,光伏,153.65897830027535,308.2765433755989,6.459371103531815,6.328625870876631,0.9894061985260656,3.755699602472711,2160.3373102302335,518.0624234784339,281.3626006429291,6.33436748435842,55.96707818930041
SARIMA,光伏,155.089720172648,307.109121848435,6.519515280001328,15.443179362670039,0.9894862825601205,4.265411686966858,2395.437594544648,466.94799540676945,289.52571356009355,6.518145132544344,53.5949996117711
日总量+归一化曲线,光伏,155.55369564643155,307.4763800258113,6.539019443059398,-15.203099596640003,0.9894611217480339,4.203460683035589,2403.6998034181643,495.4379798268028,290.39861452011314,6.537796910874438,48.01615032222999
晴空包络短期外推,光伏,158.72056775566693,322.9980271460901,6.672145423833535,3.0331881169199004,0.9883702438661957,4.067894885363977,2353.125303151629,474.7166037976747,296.319960510674,6.671105251856988,50.54740274866061
XGBoost,负载,112.77138206660815,154.66948039409388,2.4426511449036443,-1.2477077984533875,0.9878491849339058,0.8711127801209384,897.5319484810653,143.1964098673746,,,
LightGBM,负载,112.98340934121968,154.80479097751947,2.4472436989327755,-0.6601376092173882,0.9878279156693287,0.8466549810898241,879.63739151976,144.22069801161072,,,
Baseline,负载,158.60693786593478,225.41779646171514,3.435458635587682,1.9457569215735184,0.9741909179611555,1.4961296761405225,1629.136547455088,140.81608787425148,,,
SARIMA,负载,414.40885071986924,558.1039665520902,8.976180260619715,106.75297730800946,0.8417927519541444,10.309597615070992,9530.182946742807,521.1766526406145,,,
