日期,时段序号,开始时刻,结束时刻,时间区间,时长_h,区间平均电价,预测负载功率,预测光伏功率,预测净负荷功率
2025-02-01,1,00:00,00:10,00:00—00:10,0.166667,0.426200,2602.127314,0.000000,2602.127314
2025-02-01,2,00:10,00:20,00:10—00:20,0.166667,0.424650,2650.069946,0.000000,2650.069946
2025-02-01,3,00:20,00:30,00:20—00:30,0.166667,0.425700,2666.048950,0.000000,2666.048950
2025-02-01,4,00:30,00:40,00:30—00:40,0.166667,0.427050,2732.940430,0.000000,2732.940430
2025-02-01,5,00:40,00:50,00:40—00:50,0.166667,0.427150,2780.554688,0.000000,2780.554688
2025-02-01,6,00:50,01:00,00:50—01:00,0.166667,0.427800,2874.740967,0.000000,2874.740967
2025-02-01,7,01:00,01:10,01:00—01:10,0.166667,0.429800,2899.468262,0.000000,2899.468262
2025-02-01,8,01:10,01:20,01:10—01:20,0.166667,0.430650,2822.170410,0.000000,2822.170410
2025-02-01,9,01:20,01:30,01:20—01:30,0.166667,0.429050,2792.562256,0.000000,2792.562256
2025-02-01,10,01:30,01:40,01:30—01:40,0.166667,0.429550,2814.212524,0.000000,2814.212524
2025-02-01,11,01:40,01:50,01:40—01:50,0.166667,0.432250,2891.699829,0.000000,2891.699829
2025-02-01,12,01:50,02:00,01:50—02:00,0.166667,0.432200,3015.118408,0.000000,3015.118408
2025-02-01,13,02:00,02:10,02:00—02:10,0.166667,0.430200,3004.286255,0.000000,3004.286255
2025-02-01,14,02:10,02:20,02:10—02:20,0.166667,0.430850,2943.059570,0.000000,2943.059570
2025-02-01,15,02:20,02:30,02:20—02:30,0.166667,0.434550,2989.358521,0.000000,2989.358521
2025-02-01,16,02:30,02:40,02:30—02:40,0.166667,0.435750,2976.346680,0.000000,2976.346680
2025-02-01,17,02:40,02:50,02:40—02:50,0.166667,0.434150,2933.962036,0.000000,2933.962036
2025-02-01,18,02:50,03:00,02:50—03:00,0.166667,0.434600,2992.850098,0.000000,2992.850098
2025-02-01,19,03:00,03:10,03:00—03:10,0.166667,0.436550,3082.603516,0.000000,3082.603516
2025-02-01,20,03:10,03:20,03:10—03:20,0.166667,0.437250,3021.304932,0.000000,3021.304932
2025-02-01,21,03:20,03:30,03:20—03:30,0.166667,0.436350,2949.967285,0.000000,2949.967285
2025-02-01,22,03:30,03:40,03:30—03:40,0.166667,0.435450,2956.538452,0.000000,2956.538452
2025-02-01,23,03:40,03:50,03:40—03:50,0.166667,0.435650,3053.432251,0.000000,3053.432251
2025-02-01,24,03:50,04:00,03:50—04:00,0.166667,0.436900,3229.956055,0.000000,3229.956055
2025-02-01,25,04:00,04:10,04:00—04:10,0.166667,0.438950,3278.019043,0.000000,3278.019043
2025-02-01,26,04:10,04:20,04:10—04:20,0.166667,0.439500,3218.355347,0.000000,3218.355347
2025-02-01,27,04:20,04:30,04:20—04:30,0.166667,0.437650,3204.769531,0.000000,3204.769531
