模型,对象,月份,MAE,RMSE,WAPE_percent,Bias,Daylight_MAE,Daylight_WAPE_percent
Baseline,负载,2,146.43792177579365,184.38203333747532,3.2420030203224712,52.0997816468254,,
Baseline,负载,3,141.2300249327957,180.7780141843748,3.2424193012808535,30.646808400537633,,
Baseline,负载,4,125.52264460648148,156.91132280144637,2.8573482253218327,2.671280810185186,,
Baseline,负载,5,160.47889072580645,208.9597622638824,3.6458573240124084,-25.0791732078853,,
Baseline,负载,6,210.3437200694444,287.1281293961428,4.381820669071431,-59.932309791666675,,
Baseline,负载,7,288.2680412858423,383.71144241137694,5.401050611589827,-112.05173613351258,,
Baseline,负载,8,183.77835450268816,231.55202998723743,3.6426542154838373,37.78574097222222,,
Baseline,负载,9,241.89689736111112,346.4102937953354,5.332929319120291,130.2963900462963,,
Baseline,负载,10,137.4344687724014,182.86668667057944,3.161579308454676,30.862420564516132,,
Baseline,负载,11,125.7949360185185,156.5799558887549,2.9000568730158816,-2.4863881018518468,,
Baseline,负载,12,180.5122559139785,241.14729627301278,3.847803999745833,-56.49116362007168,,
Baseline,光伏,2,116.56832147463152,231.34414853584863,5.927764377259391,-65.61514957837304,248.7712200710883,5.926836832584619
Baseline,光伏,3,161.25448142281107,310.6056665211539,6.998294786918027,-47.80624735343063,318.19542853353545,6.997512238645978
Baseline,光伏,4,172.68998584986775,330.94965378543736,6.391934729194074,-37.143802767857146,316.2139446738933,6.391329481199838
Baseline,光伏,5,179.59193837685612,330.5102685980351,6.399137182195706,4.009129768305167,309.16291073219105,6.398835712907247
Baseline,光伏,6,207.31131523478834,399.40253810577343,8.74795304729245,55.48392708002647,346.31919472433987,8.747935198324098
Baseline,光伏,7,181.13419597414236,340.3922890221129,6.651387556314122,-30.163406803635432,308.6805636338842,6.650174114759406
Baseline,光伏,8,189.73021473374294,355.31114895753194,6.5065385507928175,-20.584855459549413,338.05440204815153,6.502957324681791
Baseline,光伏,9,154.82999741402116,294.76644709585446,5.937644835893685,53.09255987433861,296.15778739235054,5.931142152217191
Baseline,光伏,10,144.34285149449565,294.02951889973434,6.105065121831202,36.198076558499736,298.81033842021486,6.098359212887636
Baseline,光伏,11,101.67074004298942,207.07283496670584,5.482745766920683,60.99533228505291,226.3707347012451,5.47920535491353
Baseline,光伏,12,75.44721762992832,161.87897320625095,4.983840586482959,19.29237532322069,176.18389310757271,4.98225007149261
XGBoost,负载,2,109.99160021120103,140.11908863227498,2.435114455125795,0.4765919125511528,,
XGBoost,负载,3,106.24639015089467,135.48371359341292,2.439250055224482,-3.1251529317876336,,
XGBoost,负载,4,95.1888129026512,119.60995588080391,2.166840783753197,-5.472438371582034,,
XGBoost,负载,5,120.32592242068492,157.03249500128302,2.7336376986525206,-1.1919130631860428,,
XGBoost,负载,6,148.3001794160518,198.06828776170263,3.089347241637257,5.231837876880792,,
XGBoost,负载,7,186.03124492099994,250.84365064033125,3.4855205061010373,2.735046369917677,,
XGBoost,负载,8,145.12215186019404,181.95896755560324,2.876453103871321,14.884315700779846,,
XGBoost,负载,9,157.5838219906503,221.27479333443327,3.4741387495285716,1.8158644555664103,,
XGBoost,负载,10,108.48081102649319,142.2189476914301,2.4955216152777506,-4.542624584610914,,
XGBoost,负载,11,96.75560524531612,120.77357806369415,2.230588661797827,-5.66956361554181,,
XGBoost,负载,12,131.42728105433747,174.04456367812583,2.801507383285872,-18.41312522628948,,
XGBoost,光伏,2,111.5704551413012,227.69901732700782,5.673611502462553,-15.180485049537058,232.67245747685067,5.543292710900055
XGBoost,光伏,3,169.35603134580512,340.7137447053661,7.349894532188891,-12.666392154488346,328.7164385491379,7.228882301649055
XGBoost,光伏,4,185.84631684169452,364.78135013254433,6.878902219298215,-8.982637077055685,335.02742986623673,6.77158843112675
XGBoost,光伏,5,192.31385633102798,354.997251895925,6.85243869976469,4.718296345320505,326.3393411110707,6.754341345417765
XGBoost,光伏,6,206.57422633224044,405.4910545783536,8.716849973618606,10.655974271723606,340.42586188493743,8.59907110252287
XGBoost,光伏,7,190.93922618226972,353.62338928210033,7.011435837451121,-23.298316956197407,320.598780128223,6.906938628506879
XGBoost,光伏,8,186.29830254117957,344.54425780259885,6.388845809996703,-0.7535285350561929,326.5619430409696,6.281883527013232
XGBoost,光伏,9,157.97189870139792,306.7800316882289,6.058135013930664,25.172097598758267,296.2511033915469,5.9330109886276166
XGBoost,光伏,10,134.17113931368675,278.9943624045234,5.674846620385496,19.336769518476107,270.8671314989825,5.528072005735921
XGBoost,光伏,11,99.99643541154485,201.07096427163398,5.392456401202416,48.52049232579385,214.4289682680847,5.190160082899668
XGBoost,光伏,12,79.95250302463398,164.2652944995676,5.2814476409135,21.868554217554077,177.98560915308283,5.0332002448496675
LightGBM,负载,2,109.66096496415452,138.89970595636748,2.4277944900747266,2.4928718793704663,,
LightGBM,负载,3,105.69791279776425,135.34964342217654,2.426657877626611,-3.595501271021122,,
LightGBM,负载,4,94.91784215464259,119.42858549100953,2.160672511977504,-4.713887545496626,,
LightGBM,负载,5,120.87358049178914,157.47362406911776,2.7460797287572856,-0.4721277741911633,,
LightGBM,负载,6,149.82950857897322,199.78670605237141,3.1212057926493357,5.685220247732828,,
LightGBM,负载,7,188.20829838273463,254.0256237623174,3.5263102373474027,2.399494997159172,,
LightGBM,负载,8,145.151846541695,182.3163858838034,2.877041679479366,13.599669918225633,,
LightGBM,负载,9,158.2076816491769,221.30239659307819,3.4878925409176613,-0.10596800399565903,,
LightGBM,负载,10,108.75126210412189,142.46530219260202,2.501743144262566,-5.180322773860123,,
LightGBM,负载,11,96.79658680405856,120.86513312389344,2.231533444273653,-6.484139875061295,,
