发布时间,方法,天数,日MAE均值_kW,日MAE中位数_kW
0,A_线性插值,334,195.77255933514914,184.79716174768527
0,B_历史形状,334,189.5267966802506,175.49071087962966
0,C_残差同化,334,195.77255933514914,184.79716174768527
6,A_线性插值,334,155.5345762627523,146.89892299382717
6,B_历史形状,334,149.25399166990093,140.4059942901235
6,C_残差同化,334,158.4552733458489,148.30248215359913
12,A_线性插值,334,72.27742268587824,70.57698749999997
12,B_历史形状,334,65.8465482188401,61.626338078703654
12,C_残差同化,334,85.35229867387667,79.88156417494466
18,A_线性插值,334,10.009966437957418,5.229129861111113
18,B_历史形状,334,3.785630497338656,0.7850916666666673
18,C_残差同化,334,10.721526093127299,2.497412806951019
