区块长度_日,指标,均值,中位数,CI下限,CI上限,区间跨0
7,全时刻相对仅0点的日均节省,2173.8110458903,2164.567850030159,1817.0445951858246,2556.2336061856854,False
7,已有12/18点后增加6点的日均节省,205.6598341394599,205.1549300476398,116.36308457609205,300.8657333863096,False
7,6点Shapley日均贡献,375.12319991866644,375.4717775701921,195.48051445561708,556.820672849813,False
7,12点Shapley日均贡献,1035.734167560295,1034.9238689791562,895.5552721139045,1175.2071614811334,False
7,18点Shapley日均贡献,762.9536784113384,757.2948433143558,615.2059775815499,942.749012502843,False
7,12点减18点Shapley日均贡献,272.7804891489565,275.864255263676,105.68923833066951,426.7842455214468,False
14,全时刻相对仅0点的日均节省,2170.0892684151263,2162.416411610831,1829.681761883029,2537.7228654393616,False
14,已有12/18点后增加6点的日均节省,209.98811933569172,209.4253578134602,127.96256136039902,295.9779546911806,False
14,6点Shapley日均贡献,371.0238858362618,370.03098060695993,199.97207446652465,543.9455625386445,False
14,12点Shapley日均贡献,1035.7246613889265,1034.7067720463174,907.7358851946732,1167.1695155022508,False
14,18点Shapley日均贡献,763.3407211899379,757.9573908885345,605.7242750701666,950.7832166920283,False
14,12点减18点Shapley日均贡献,272.38394019898874,275.7960297263227,84.50675740042806,436.0841515626509,False
