日期,当前发布时间,上一发布时间,发布小时,当前预测提前小时,旧预测提前小时,目标时刻,真实功率_kW,旧版延伸预测_kW,新版最新预测_kW,旧版绝对误差_kW,新版绝对误差_kW,绝对误差改善_kW
2025-02-01,2025-02-01 00:00:00,2025-01-31 18:00:00,0,1,7,2025-02-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,2025-02-01 00:00:00,2025-01-31 18:00:00,0,2,8,2025-02-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,2025-02-01 00:00:00,2025-01-31 18:00:00,0,3,9,2025-02-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,2025-02-01 00:00:00,2025-01-31 18:00:00,0,4,10,2025-02-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,2025-02-01 00:00:00,2025-01-31 18:00:00,0,5,11,2025-02-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,2025-02-01 00:00:00,2025-01-31 18:00:00,0,6,12,2025-02-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,2025-02-01 00:00:00,2025-01-31 18:00:00,0,7,13,2025-02-01 07:00:00,340.5,297.8038,351.8186,42.696199999999976,11.318600000000004,31.377599999999973
2025-02-01,2025-02-01 00:00:00,2025-01-31 18:00:00,0,8,14,2025-02-01 08:00:00,2004.1125,1785.7989,2055.0921,218.31359999999995,50.97959999999989,167.33400000000006
2025-02-01,2025-02-01 00:00:00,2025-01-31 18:00:00,0,9,15,2025-02-01 09:00:00,3731.7,3458.1257,3840.8664,273.57429999999977,109.16640000000007,164.4078999999997
2025-02-01,2025-02-01 00:00:00,2025-01-31 18:00:00,0,10,16,2025-02-01 10:00:00,5364.1125,5238.2447,5817.8346,125.86779999999999,453.72209999999995,-327.85429999999997
2025-02-01,2025-02-01 00:00:00,2025-01-31 18:00:00,0,11,17,2025-02-01 11:00:00,6361.65,6570.8788,7046.6046,209.22880000000077,684.9546,-475.72579999999925
2025-02-01,2025-02-01 00:00:00,2025-01-31 18:00:00,0,12,18,2025-02-01 12:00:00,6603.9375,7444.3125,6729.8795,840.375,125.94200000000001,714.433
2025-02-01,2025-02-01 00:00:00,2025-01-31 18:00:00,0,13,19,2025-02-01 13:00:00,6313.35,7157.625,6041.7638,844.2749999999996,271.58620000000064,572.688799999999
